Accession,Description,Norm Avg Ratio
Q14165,Malectin,4.449121264
O00505,Importin subunit alpha-3,3.556458966
Q9NQX7,Integral membrane protein 2C,3.347943351
P04233,HLA class II histocompatibility antigen gamma chain,2.750636119
P33908,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",2.426794147
P27701,CD82 antigen,2.334807669
Q12792,Twinfilin-1,2.193517941
P20036,"HLA class II histocompatibility antigen, DP alpha 1 chain",2.166268841
P09326,CD48 antigen,2.096438677
Q15003,Condensin complex subunit 2,2.085149668
Q9NZZ3,Charged multivesicular body protein 5,2.07863048
Q9UKM7,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",2.062696199
O60449,Lymphocyte antigen 75,2.037752497
P04440,"HLA class II histocompatibility antigen, DP beta 1 chain",2.016068447
Q96KC8,DnaJ homolog subfamily C member 1,1.97458936
Q9Y223,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase,1.920154916
Q16706,Alpha-mannosidase 2,1.90879519
Q8IW92,Beta-galactosidase-1-like protein 2,1.903837257
P20701,Integrin alpha-L,1.86413735
O95864,Fatty acid desaturase 2,1.833252205
Q9C0C9,Ubiquitin-conjugating enzyme E2 O,1.832098824
Q14108,Lysosome membrane protein 2,1.815388094
P09417,Dihydropteridine reductase,1.803687827
P32970,CD70 antigen,1.780266513
P13473,Lysosome-associated membrane glycoprotein 2,1.752825403
P51790,H(+)/Cl(-) exchange transporter 3,1.72550327
Q96S52,GPI transamidase component PIG-S,1.721356797
Q6ZRP7,Sulfhydryl oxidase 2,1.716230108
P26010,Integrin beta-7,1.710647306
P11117,Lysosomal acid phosphatase,1.708590252
Q8WTV0,Scavenger receptor class B member 1,1.70786705
Q6P4Q7,Metal transporter CNNM4,1.679603349
Q96KA5,Cleft lip and palate transmembrane protein 1-like protein,1.66090747
O75915,PRA1 family protein 3,1.645909549
Q15370,Transcription elongation factor B polypeptide 2,1.637972626
O60476,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",1.583319389
Q92542,Nicastrin,1.580697748
Q96C90,Protein phosphatase 1 regulatory subunit 14B,1.579802584
P13796,Plastin-2,1.562505679
Q30154,"HLA class II histocompatibility antigen, DR beta 5 chain",1.558547916
